Model	mse_mean	mse_std	dssim_mean	dssim_std	psnr_mean	psnr_std
MSE-Residual UNET	3.438e-05	1.616e-05	2.951e-03	2.861e-03	4.499e+01	1.668e+00
MSE-Shallow RES CAE	1.504e-04	6.330e-05	6.749e-03	5.000e-03	3.858e+01	1.723e+00
MSE-Skip connection CAE+L2	2.250e-04	9.187e-05	1.651e-02	8.894e-03	3.680e+01	1.667e+00
MSE-Skip connection CAE	2.986e-04	1.341e-04	9.356e-03	8.013e-03	3.568e+01	1.967e+00
MSE-Shallow RES CAE+L2	3.237e-04	1.251e-04	1.143e-02	3.969e-03	3.522e+01	1.715e+00
MSE-Myronenko	3.267e-04	1.061e-04	1.568e-02	5.291e-03	3.508e+01	1.378e+00
DSSIM-Residual UNET	7.496e-05	4.262e-05	1.443e-03	7.946e-04	4.181e+01	2.154e+00
DSSIM-Shallow RES CAE+L2	2.337e-04	1.088e-04	3.701e-03	1.294e-03	3.678e+01	2.077e+00
DSSIM-Shallow RES CAE	2.877e-04	1.421e-04	4.144e-03	1.282e-03	3.591e+01	2.130e+00
DSSIM-Skip connection CAE+L2	4.083e-04	1.605e-04	4.380e-03	2.200e-03	3.422e+01	1.720e+00
DSSIM-Skip connection CAE	4.566e-04	1.730e-04	4.713e-03	2.401e-03	3.372e+01	1.692e+00
DSSIM-Myronenko	6.685e-04	2.489e-04	4.314e-03	1.276e-03	3.205e+01	1.637e+00